step,hand_qpos_l2,piano_state_iou,sim_keys,ref_keys,goal_keys
254,1.0297201871871948,0.0,"[25, 28]","[29, 33, 48]","[29, 33, 48]"
255,1.3257044553756714,0.0,[],"[29, 33, 48]","[29, 33, 48]"
256,1.2661737203598022,0.0,[],"[29, 33, 48]","[29, 33, 48]"
257,1.2672206163406372,0.0,[],"[29, 33, 48]","[29, 33, 48]"
258,1.4542754888534546,0.0,[],"[29, 33, 48]","[29, 33, 48]"
259,1.4217969179153442,0.0,[],"[29, 33, 48]","[29, 33, 48]"
260,1.51792573928833,0.0,[],"[29, 33, 48]","[29, 33, 48]"
261,1.545881986618042,0.0,[],"[29, 33, 48]","[29, 33, 48]"
262,1.4965455532073975,0.0,[],"[29, 33, 48]","[29, 33, 48]"
263,1.1900625228881836,0.0,[],"[29, 33, 48]","[29, 33, 48]"
264,1.1740602254867554,0.0,[],"[29, 33, 48]","[29, 36, 48]"
265,1.0511770248413086,0.0,"[28, 33]","[29, 36, 48]","[29, 36, 48]"
266,1.1093415021896362,0.0,[],"[29, 36, 48]","[29, 36, 48]"
267,0.9314994812011719,0.0,[35],"[29, 36, 48]","[29, 36, 48]"
268,0.8846239447593689,0.2,"[35, 47, 48]","[29, 36, 48]","[29, 36, 48]"
269,0.9986172914505005,0.2,"[35, 47, 48]","[29, 36, 48]","[29, 36, 48]"
270,0.9619572758674622,0.0,[47],"[29, 36, 48]","[29, 36, 48]"
271,1.0554856061935425,0.0,"[30, 35]","[29, 36, 48]","[29, 36, 48]"
272,1.1476277112960815,0.0,[47],"[29, 36, 48]","[29, 36, 48]"
273,0.9590108394622803,0.0,[47],"[29, 36, 48]","[29, 36, 48]"
274,1.0203545093536377,0.0,[47],"[29, 36, 48]","[29, 36, 48]"
275,1.128981113433838,0.0,[30],"[29, 36, 48]","[29, 36, 48]"
276,1.4246504306793213,0.0,[47],"[29, 36, 48]","[29, 41, 48]"
277,1.2146695852279663,0.5,"[39, 41, 48]","[29, 41, 48]","[41, 48]"
278,1.248283863067627,0.0,[],"[41, 48]","[41, 48]"
279,1.0822851657867432,0.0,[],"[41, 48]","[41, 48]"
280,1.2920280694961548,0.0,[],"[41, 48]","[41, 48]"
281,0.9615659117698669,0.0,[47],"[41, 48]","[41, 48]"
282,0.9782882332801819,0.0,[47],"[41, 48]","[41, 48]"
283,0.9978192448616028,0.0,[47],"[41, 48]","[41, 48]"
284,1.037438154220581,0.0,[],"[41, 48]","[41, 48]"
285,1.1458392143249512,0.0,[],"[41, 48]","[41, 48]"
286,0.9776637554168701,0.0,[],"[41, 48]","[41, 48]"
287,1.0250667333602905,0.0,[42],"[41, 48]","[41, 48]"
288,1.3008966445922852,0.0,[],"[41, 48]","[29, 41, 48]"
289,0.9880866408348083,0.0,"[25, 36, 42]","[29, 41, 48]","[29, 41, 48]"
290,0.9206036329269409,0.0,[42],"[29, 41, 48]","[29, 41, 48]"
291,1.159304141998291,0.0,[],"[29, 41, 48]","[29, 41, 48]"
292,1.015423059463501,0.0,[38],"[29, 41, 48]","[29, 41, 48]"
293,1.2186018228530884,0.0,[38],"[29, 41, 48]","[29, 41, 48]"
294,1.255458116531372,0.0,"[38, 44]","[29, 41, 48]","[29, 41, 48]"
295,1.0418144464492798,0.0,[44],"[29, 41, 48]","[29, 41, 48]"
296,0.9291805624961853,0.0,[25],"[29, 41, 48]","[29, 41, 48]"
297,1.0674430131912231,0.0,[26],"[29, 41, 48]","[29, 41, 48]"
298,1.3387298583984375,0.0,[26],"[29, 41, 48]","[29, 41, 48]"
299,1.1818209886550903,0.0,[26],"[29, 41, 48]","[29, 41, 48]"
300,1.2727807760238647,0.0,[26],"[29, 41, 48]","[29, 41, 48]"
301,1.758406639099121,0.0,[],"[29, 41, 48]","[27, 41, 48, 57]"
302,1.4939371347427368,0.0,[],[41],"[27, 57]"
303,1.4075462818145752,0.0,[],[],"[27, 57]"
304,1.4932953119277954,0.0,"[52, 59]",[],"[27, 57]"
305,1.3628989458084106,0.0,[21],[57],"[27, 55, 57]"
306,1.2236741781234741,0.0,[],"[29, 55, 57]","[27, 55]"
307,1.4457305669784546,0.0,[],"[27, 55]","[27, 55]"
