step,hand_qpos_l2,piano_state_iou,sim_keys,ref_keys,goal_keys
209,1.0988028049468994,0.0,[],"[34, 50]","[34, 50]"
210,0.9661080241203308,0.0,[],"[34, 50]","[34, 50]"
211,1.0941109657287598,0.0,[],"[34, 50]","[34, 50]"
212,1.0737537145614624,0.0,[],"[34, 50]","[34, 50]"
213,1.5208293199539185,0.0,[],"[34, 50]","[34, 48]"
214,1.436968445777893,0.0,[],[34],"[34, 48]"
215,1.6101435422897339,0.0,[],"[34, 48, 50]","[34, 48]"
216,1.3116439580917358,0.0,[],"[34, 48]","[34, 48]"
217,1.264856219291687,0.0,[],"[34, 48]","[34, 48]"
218,1.3274058103561401,0.0,[],"[34, 48]","[34, 48]"
219,1.2161945104599,0.0,[],"[34, 48]","[34, 48]"
220,1.2026679515838623,0.0,[],"[34, 48]","[34, 48]"
221,1.3420472145080566,0.0,[29],"[34, 48]","[34, 48]"
222,1.2888574600219727,0.0,[29],"[34, 48]","[34, 48]"
223,1.498451590538025,0.0,[],"[34, 48]","[34, 48]"
224,1.3817745447158813,0.0,[],"[34, 48]","[34, 48]"
225,1.493597388267517,0.0,[],"[34, 48]","[34, 48]"
226,1.662489414215088,0.0,[],"[34, 48]","[29, 34]"
227,1.974260687828064,0.0,[],[],"[29, 34, 48]"
228,1.755561351776123,0.0,[],[48],"[29, 34, 48]"
229,1.319174885749817,0.0,[],"[29, 31, 34, 48]","[29, 34, 48]"
230,1.419879674911499,0.0,[],"[29, 34, 48]","[29, 34, 48]"
231,1.449472427368164,0.0,[],"[29, 34, 48]","[29, 34, 48]"
232,1.597429871559143,0.0,[],"[29, 34, 48]","[29, 34, 48]"
233,1.7350817918777466,0.0,[],"[29, 34, 48]","[29, 34, 48]"
234,1.7133347988128662,0.0,[],"[29, 34, 48]","[29, 34, 48]"
235,1.6055463552474976,0.0,[],"[29, 34, 48]","[29, 34, 48]"
236,1.6621719598770142,0.0,[],"[29, 34, 48]","[29, 34, 48]"
237,1.4754456281661987,0.0,[],"[29, 34, 48]","[29, 34, 48]"
238,1.3841058015823364,0.0,[],"[29, 31, 34, 48]","[29, 34, 48]"
